samples,richness,evenness,shannon,simpson,inv_simpson,chao1,PD_whole_tree,treatment
P0298,6654,0.478734584,6.079932162,0.985769888,70.27351726,9456.796781,208.25874,Treatment 3
P0304,3749,0.447924788,5.317893033,0.979006262,47.63325034,5285.958707,125.59329,Treatment 3
P0313,8478,0.527977995,6.889853204,0.993840658,162.3550086,11484.64902,260.75019,Treatment 3
P0374,5318,0.481026343,5.953503376,0.988039835,83.61088735,7663.013263,180.22312,Treatment 3
P0412,5666,0.358992364,4.475958033,0.912872457,11.47742684,8665.578022,189.75537,Treatment 3
p0434,3724,0.454286791,5.389039452,0.976471935,42.50243231,4560.646617,124.45239,Treatment 3
P0484,3668,0.464682708,5.502204753,0.985839425,70.61860175,5188.930233,121.69692,Treatment 3
P0511,5470,0.504714772,6.267207413,0.991920844,123.7753004,7827.825419,178.60455,Treatment 3
P0514,6410,0.481445778,6.088415619,0.987557008,80.366524,9242.637537,210.51138,Treatment 3
P0517,7220,0.460550732,5.903239402,0.96599056,29.40360082,10126.74847,231.12591,Treatment 3
P0576,5174,0.427793728,5.277718747,0.966966471,30.27227297,7406.248705,176.47888,Treatment 3
P0685,5649,0.445795925,5.556302239,0.983835674,61.86462874,8586.267123,187.16189,Treatment 3
P0688,4614,0.434092264,5.283685209,0.97615778,41.94240364,6309.606398,150.25798,Treatment 3
P0694,6866,0.495647621,6.317154895,0.987481547,79.88207562,10019.02885,212.78894,Treatment 3
P0779,4615,0.478227551,5.821040709,0.987961715,83.06830981,6281.285094,153.00379,Treatment 3
P0788,8007,0.508596709,6.594996974,0.988750549,88.89322354,10583.66387,251.08522,Treatment 3
p0794,3753,0.458243662,5.441106693,0.980596982,51.53837537,4565.669159,126.43576,Treatment 3
P0953,5491,0.482726964,5.996846204,0.988928859,90.32492661,7680.305019,173.37941,Treatment 3
P0959,6860,0.480894182,6.128512025,0.989930651,99.31128181,10494.12379,213.95297,Treatment 3
P1122,5523,0.500833973,6.225985518,0.992177119,127.8301435,7640.503846,177.00644,Treatment 3
p1232,3275,0.502200128,5.864331101,0.986186632,72.3936408,3818.422156,111.27901,Treatment 3
P1828,2655,0.453732631,5.160980062,0.976382998,42.34237635,3943.296073,91.8096,Treatment 3
